actor_id,name,kind,location,sector,employer,employees,alltag,grundversorgung,vertrag,haftung,reserve,wallet_total,positive_money,health,stress,fatigue,trust,reputation,media_literacy,integrity,pressure,productivity,capital,skills,meta
PUBLIC_ZEMO,ZEMO Public Council / Öffentlicher Fonds,public,Earth,governance,,0,247128.33916797562,0,21468.816991106636,0,200000,468597.15615908225,468597.15615908225,0.85,0.25,0.2,0.65,0.8471498620695244,0.55,0.82,0.35,1.0,100.0,"{""finance"":0.8,""governance"":0.85}",{}
BANK_DELTA,Delta Clearing Bank,firm,Earth,finance,,0,101483.02384219899,0,0,0,180000,281483.023842199,281483.023842199,0.85,0.25,0.2,0.65,0.5,0.55,0.7,0.45,1.15,250,"{""finance"":0.85,""governance"":0.55}","{""loans"":[],""target"":8}"
INSURANCE_MUTUAL,Mutual Risk & Life-Support Insurance,firm,Earth,finance,,0,100337.42227583943,0,0,0,150000,250337.42227583943,250337.42227583943,0.85,0.25,0.2,0.65,0.5009533061526575,0.55,0.76,0.36,1.05,210,"{""finance"":0.8,""health"":0.55,""space"":0.55}","{""pool"":100000,""target"":7}"
P_00001,Lea Garcia,person,Earth,agriculture,F_00121,0,1136.2432204329843,14.35624328430425,0,0,57.432784332406875,1208.0322480496957,1208.0322480496957,0.6505073453159566,0.6583073905032598,0,1,0.8609753456619584,0.7518001791915985,0.5149326461961209,0.3263837936344719,0.7836423886676931,100.0,"{""consumption"":0.4789709729887737,""culture"":0.5978839849596915,""education"":0.3486303657900127,""energy"":0.5014654800448805,""environment"":0.3614642049385338,""finance"":0.46053448066054115,""food"":0.7159459270928554,""general"":0.5132385126063015,""governance"":0.39042382419753685,""health"":0.577897800271268,""infrastructure"":0.6100800893856869,""labor"":0.39348338407498973,""media"":0.31268802052010275,""space"":0.2731876542953137,""transport"":0.49134262726195516,""water"":0.5704331926389679}","{""education"":0.30407830016398074,""preferred_sector"":""data_network""}"
P_00002,Mira Sato,person,Station,healthcare,M_00156,0,652.5510107136028,25.768282560206593,0,0,14.688655509085573,693.0079487828949,693.0079487828949,0.3640653495137725,0.5132404537882457,0.18836939100844807,0.8261788444892431,0.7884453244600405,0.4294696459467722,0.8103993369935074,0.355843508236842,1.025201925697836,100.0,"{""consumption"":0.8579099872826124,""culture"":0.5633561469869515,""education"":0.8419090472796514,""energy"":0.577134119599246,""environment"":0.6926808275431575,""finance"":0.5163164769594879,""food"":0.41675517755747543,""general"":0.6446103504040573,""governance"":0.39130019451406234,""health"":0.3619460823750136,""infrastructure"":0.7117048352911383,""labor"":0.7079391508382434,""media"":0.7244898930782859,""space"":0.9857370253094472,""transport"":0.7442542904858607,""water"":0.4054385700689609}","{""education"":0.4825880910280094,""preferred_sector"":""space_ops""}"
P_00003,Mira Novak,person,Moon,mining,F_00140,0,560.6105154720536,16.41912754204934,0,0,9.598920103347016,586.62856311745,586.62856311745,0.5017353592589437,0.5312970725870411,0.27507228473969925,0.9871416278052321,0.5480895073183095,0.7139549457703298,0.7027621808256097,0.011437534242135061,0.8881406969742667,100.0,"{""consumption"":0.3764617172082311,""culture"":0.2931527529354819,""education"":0.45510760818958035,""energy"":0.5655441748253777,""environment"":0.3595816658729567,""finance"":0.3505952534774509,""food"":0.5592740906259266,""general"":0.466349331981676,""governance"":0.586237751068024,""health"":0.37565607841148385,""infrastructure"":0.6219415686015753,""labor"":0.5821304498005715,""media"":0.3713638172810945,""space"":0.532001040000589,""transport"":0.3332963557829549,""water"":0.8377746946857929}","{""education"":0.3931417018699379,""preferred_sector"":""water_utility""}"
P_00004,Kian Dubois,person,Earth,water_utility,F_00124,0,1167.2928910887308,24.99940531586699,0,0,29.31634248173687,1221.6086388863348,1221.6086388863348,0.7755374871959702,0.6971356124388557,0,1,0.873451773517732,0.527231456727642,0.7911166360690949,0.294603391351939,1.0073748429126415,100.0,"{""consumption"":0.05209465673367292,""culture"":0.6516703010481921,""education"":0.33185276983940115,""energy"":0.5628541878866211,""environment"":0.363785462870459,""finance"":0.7082144705320617,""food"":0.40806938018205074,""general"":0.43223426842826457,""governance"":0.43486543248869564,""health"":0.3442460629234122,""infrastructure"":0.5258686302484614,""labor"":0.2516826087814813,""media"":0.542455686710825,""space"":0.26631960911389785,""transport"":0.5459885411594707,""water"":0.9043875897033206}","{""education"":0.5167298563273347,""preferred_sector"":""construction""}"
P_00005,Aiko Singh,person,Earth,data_network,M_00155,0,986.3355469235947,24.744144531795094,0,0,13.80688395579462,1024.8865754111844,1024.8865754111844,0.6784971576605094,0.7291507669913011,0,0.8924181366864069,0.5958442378275542,0.4604574444462207,0.5135696512349043,0.4498159155696814,1.2462904324335906,100.0,"{""consumption"":0.751771442147237,""culture"":0.7750341143125095,""education"":0.5296626261273654,""energy"":0.5827271010702457,""environment"":1.0150520104840983,""finance"":0.8224865140900579,""food"":0.7890342428921138,""general"":0.7807028532754821,""governance"":0.7174288407432935,""health"":0.8319655485083001,""infrastructure"":0.8823250685903832,""labor"":0.8946845361680773,""media"":0.8119704956599574,""space"":0.9125364552786028,""transport"":1.1048078220791577,""water"":0.6972389092085766}","{""education"":0.6135043198016071,""preferred_sector"":""media""}"
P_00006,Jonas Okafor,person,Earth,construction,F_00124,0,1079.7826582593286,13.98911041909608,0,0,11.009282147233996,1104.7810508256587,1104.7810508256587,0.6564750136902567,0.7034888499964996,0,0.9738342255992017,0.8566267276887987,0.7087211052496698,0.626449793563508,0.24208304650702422,1.042061339746318,100.0,"{""consumption"":0.19628686853607785,""culture"":0.21074343949453966,""education"":0.02,""energy"":0.2636723260207178,""environment"":0.22136047521301974,""finance"":0.48159117705750626,""food"":0.41067250956423296,""general"":0.25570698232218764,""governance"":0.4250374213647601,""health"":0.12986670975251854,""infrastructure"":0.4513311258531393,""labor"":0.19599419107417893,""media"":0.4366222300841201,""space"":0.3359272584102789,""transport"":0.2992429968205032,""water"":0.11449095339578497}","{""education"":0.34623421223820594,""preferred_sector"":""construction""}"
P_00007,Lina Patel,person,Earth,water_utility,F_00126,0,1093.1139468483796,12.087717004257872,0,0,18.816288586183756,1124.017952438821,1124.017952438821,0.6893424414384671,0.8167222212819,0,0.9893187931566454,0.7821908437026202,0.44703774138477304,0.742482576222037,0.3836044652289522,1.1673251011158976,100.0,"{""consumption"":0.9613467338143674,""culture"":0.8097898993202981,""education"":0.8531019118054525,""energy"":0.8522329526588374,""environment"":1.0193905981375584,""finance"":0.4599122865316955,""food"":0.9082567928906925,""general"":0.8156510822599637,""governance"":0.6461746070294451,""health"":0.8040728353765535,""infrastructure"":0.9430881974747517,""labor"":0.6768680195233563,""media"":0.9734639061113528,""space"":1.002555206501543,""transport"":0.8742680116514824,""water"":1.2491947671069068}","{""education"":0.48941133958386285,""preferred_sector"":""water_utility""}"
