actor_id,name,kind,location,sector,employer,employees,alltag,grundversorgung,vertrag,haftung,reserve,wallet_total,positive_money,health,stress,fatigue,trust,reputation,media_literacy,integrity,pressure,productivity,capital,skills,meta
PUBLIC_ZEMO,ZEMO Public Council / Öffentlicher Fonds,public,Earth,governance,,0,235401.16059675338,0,115693.50435546655,0,200000,551094.6649522199,551094.6649522199,0.85,0.25,0.2,0.65,1.0299836686241386,0.55,0.82,0.35,1.0,100.0,"{""finance"":0.8,""governance"":0.85}",{}
BANK_DELTA,Delta Clearing Bank,firm,Earth,finance,,0,36024.39666410223,0,0,0,180000,216024.3966641022,216024.3966641022,0.85,0.25,0.2,0.65,0.5046898292192474,0.55,0.7,0.45,1.15,250,"{""finance"":0.85,""governance"":0.55}","{""loans"":[],""target"":8}"
INSURANCE_MUTUAL,Mutual Risk & Life-Support Insurance,firm,Earth,finance,,0,111444.16205980882,0,0,0,150000,261444.16205980882,261444.16205980882,0.85,0.25,0.2,0.65,0.5005073266114028,0.55,0.76,0.36,1.05,210,"{""finance"":0.8,""health"":0.55,""space"":0.55}","{""pool"":100000,""target"":7}"
P_00001,Lea Garcia,person,Earth,agriculture,F_00306,0,349.25748040648716,43.54424261299542,0,0,57.432784332406875,450.2345073518894,450.2345073518894,0.02,0.995,0.38886835086230687,1,0.8369064149437927,0.7604548828113695,0.5149326461961209,0.3263837936344719,0.7836423886676931,100.0,"{""consumption"":0.4789709729887737,""culture"":0.5978839849596915,""education"":0.3486303657900127,""energy"":0.5034650322702054,""environment"":0.36577046874325453,""finance"":0.4633441112054911,""food"":0.7159459270928554,""general"":0.5132385126063015,""governance"":0.39042382419753685,""health"":0.5810615274511769,""infrastructure"":0.6100800893856869,""labor"":0.39348338407498973,""media"":0.31268802052010275,""space"":0.27533298657336114,""transport"":0.49134262726195516,""water"":0.5704331926389679}","{""education"":0.30407830016398074,""preferred_sector"":""agriculture""}"
P_00002,Mira Sato,person,Station,healthcare,F_00317,0,2610.797602392435,60.371472119405254,0,0,14.688655509085573,2685.8577300209254,2685.8577300209254,0.02313386008993276,0.995,0.583582522164099,1,0.8543454293569923,0.4433127828609624,0.8103993369935074,0.355843508236842,1.025201925697836,100.0,"{""consumption"":0.8587183464787075,""culture"":0.5634284916614213,""education"":0.8445335210517464,""energy"":0.579693427597217,""environment"":0.6937018470923759,""finance"":0.5163164769594879,""food"":0.41860285559614374,""general"":0.6446103504040573,""governance"":0.39639340102344506,""health"":0.3640611362186453,""infrastructure"":0.7151497643610653,""labor"":0.7104861145859549,""media"":0.7244898930782859,""space"":0.9857370253094472,""transport"":0.7450683517921532,""water"":0.4055630672204816}","{""education"":0.4825880910280094,""preferred_sector"":""media""}"
P_00003,Mira Novak,person,Moon,mining,F_00326,0,495.1333514148452,35.81505688933236,0,-29.091688379936507,0.0,501.856719924241,530.9484083041775,0.02457735954530702,0.995,0.4379882608748235,1,0.6806672996378296,0.7247866581177739,0.7027621808256097,0.011437534242135061,0.8881406969742667,100.0,"{""consumption"":0.377684257351132,""culture"":0.2944396999852623,""education"":0.45711311763214996,""energy"":0.5655441748253777,""environment"":0.3595816658729567,""finance"":0.3505952534774509,""food"":0.564228062734649,""general"":0.466349331981676,""governance"":0.588772433884441,""health"":0.3775368530884763,""infrastructure"":0.6230111940465474,""labor"":0.58488902908298,""media"":0.3717040402287384,""space"":0.532001040000589,""transport"":0.3332963557829549,""water"":0.8377746946857929}","{""education"":0.3931417018699379,""preferred_sector"":""media""}"
P_00004,Kian Dubois,person,Earth,water_utility,F_00309,0,2267.74606512176,54.18740464455816,0,0,29.31634248173687,2351.2498122480547,2351.2498122480547,0.02469737204841571,0.995,0.3987763833500884,1,0.9041146140324582,0.5272201781046473,0.7911166360690949,0.294603391351939,1.0073748429126415,100.0,"{""consumption"":0.05209465673367292,""culture"":0.650119828484358,""education"":0.33185276983940115,""energy"":0.5628541878866211,""environment"":0.363785462870459,""finance"":0.7082144705320617,""food"":0.4094435836153867,""general"":0.43223426842826457,""governance"":0.43475941219382597,""health"":0.34699027127142457,""infrastructure"":0.5233983805725497,""labor"":0.2516826087814813,""media"":0.542455686710825,""space"":0.26341815652069267,""transport"":0.5459885411594707,""water"":0.9072785753448015}","{""education"":0.5167298563273347,""preferred_sector"":""water_utility""}"
P_00005,Aiko Singh,person,Earth,data_network,M_00341,0,1437.9196395481258,53.93214386048625,0,0,13.80688395579462,1505.6586673644067,1505.6586673644067,0.023324628694036408,0.995,0.4575439682313778,1,0.5821466324623809,0.464610827813485,0.5135696512349043,0.4498159155696814,1.2462904324335906,100.0,"{""consumption"":0.7500313702362322,""culture"":0.773639145062799,""education"":0.5296626261273654,""energy"":0.5809940984206469,""environment"":1.0149648363285255,""finance"":0.8224865140900579,""food"":0.7925003977664936,""general"":0.7807028532754821,""governance"":0.7174288407432935,""health"":0.8319655485083001,""infrastructure"":0.8839246616365786,""labor"":0.8988655413225289,""media"":0.8119704956599574,""space"":0.9134186663224372,""transport"":1.1065563815382906,""water"":0.6972389092085766}","{""education"":0.6135043198016071,""preferred_sector"":""healthcare""}"
P_00006,Jonas Okafor,person,Earth,construction,,0,325.1913994864139,43.17710974778724,0,0,11.009282147233996,379.37779138143515,379.37779138143515,0.02,0.983835932585594,0.4026316920500353,1,0.8469629923128338,0.7101643573264091,0.626449793563508,0.24208304650702422,1.042061339746318,100.0,"{""consumption"":0.19628686853607785,""culture"":0.21074343949453966,""education"":0.021716236856401585,""energy"":0.2636723260207178,""environment"":0.22338873253086017,""finance"":0.4776351294280452,""food"":0.41067250956423296,""general"":0.25570698232218764,""governance"":0.4250374213647601,""health"":0.13168155668673123,""infrastructure"":0.4513311258531393,""labor"":0.19311443877237447,""media"":0.4426805595801386,""space"":0.3334686479757892,""transport"":0.2958849508836289,""water"":0.1179311592218404}","{""education"":0.34623421223820594,""preferred_sector"":""construction""}"
P_00007,Lina Patel,person,Earth,water_utility,F_00312,0,2312.228940645803,41.27571633294903,0,0,18.816288586183756,2372.3209455649358,2372.3209455649358,0.023654405597005743,0.995,0.4729421857884627,1,0.8160942195918544,0.4529240747346289,0.742482576222037,0.3836044652289522,1.1673251011158976,100.0,"{""consumption"":0.9613467338143674,""culture"":0.8129447969791272,""education"":0.8544795248982726,""energy"":0.8546451994862351,""environment"":1.0193905981375584,""finance"":0.4613894937403811,""food"":0.9082567928906925,""general"":0.8156510822599637,""governance"":0.6433865791294338,""health"":0.8040728353765535,""infrastructure"":0.9407262272017851,""labor"":0.6768680195233563,""media"":0.9786381380131366,""space"":1.002555206501543,""transport"":0.8756323687180372,""water"":1.2491947671069068}","{""education"":0.48941133958386285,""preferred_sector"":""water_utility""}"
